System,SNR,Eclipse Depth,Kmag,Teq,Period,Planet Mass
-,-,ppm,-,K,d,Mjup
WASP-039,23.7,2948,10.20,1387.4,4.05,0.28
KELT-15,23.6,2566,9.85,1950.9,3.33,1.20
WASP-025,23.5,2926,10.17,1440.6,3.77,0.60
HATS-33,23.5,3072,10.29,1699.7,2.55,1.19
WASP-020,23.3,2050,9.39,1501.4,4.90,0.38
WASP-036,23.1,4860,11.29,2062.5,1.54,2.36
HAT-P-07,23.1,1997,9.33,2637.0,2.21,1.87
HATS-24,23.0,5124,11.38,2469.1,1.35,2.44
WASP-064,22.7,4022,10.96,2012.1,1.57,1.27
HAT-P-06,22.7,1964,9.31,2027.5,3.85,1.06
HAT-P-33,22.7,2682,10.00,2117.6,3.48,0.76
WASP-046,22.6,4923,11.40,1947.0,1.43,1.91
HAT-P-03,22.6,1960,9.45,1393.7,2.90,0.59
WASP-038,22.6,1052,8.00,1483.8,6.87,2.69
WASP-119,22.5,3321,10.55,1863.2,2.50,1.23
WASP-075,22.5,2697,10.06,2030.7,2.48,1.08
HAT-P-12,21.8,2474,10.11,1136.0,3.21,0.20
WASP-026,21.8,2200,9.69,1963.0,2.77,1.02
WASP-100,21.7,2238,9.67,2618.1,2.85,2.03
WASP-005,21.6,3272,10.60,2085.4,1.63,1.59
WASP-131,21.5,1289,8.57,1713.4,5.32,0.27
HATS-02,21.5,4551,11.39,1873.3,1.35,1.34
WASP-001,21.1,2808,10.28,2172.2,2.52,0.85
HAT-P-45,20.9,2702,10.20,1961.3,3.13,0.89
WASP-031,20.9,3302,10.65,1836.0,3.41,0.48
WASP-024,20.9,2615,10.15,2108.4,2.34,1.11
GJ_1214,20.8,1044,8.78,679.1,1.58,0.02
WASP-023,20.7,2815,10.45,1344.0,2.94,0.92
WASP-053,20.7,2720,10.39,1252.4,3.31,2.13
HAT-P-54,20.6,2530,10.33,974.8,3.80,0.76
WASP-065,20.6,2759,10.35,1766.3,2.31,1.55
WASP-109,20.5,2675,10.20,2016.3,3.32,0.91
TrES-5,20.4,4723,11.59,1766.8,1.48,1.79
HAT-P-49,20.3,1803,9.35,2530.5,2.69,1.73
