Name		Vmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
XO-3		9.91		13		0.1		3.19		11.83		5.28		2057
WASP-141		12.42		50		0.1		3.31		2.69		3.86		1875
WASP-120		10.96		32		0.1		3.61		4.85		4.06		2231
WASP-106		11.21		35		0.1		9.29		1.93		3.75		1341
WASP-105		12.06		46		0.1		7.87		1.80		3.93		1007
WASP-086		10.66		23		0.1		5.03		0.82		3.98		1647
WASP-061		12.50		64		0.1		3.86		2.06		3.58		1852
WASP-059		13.00		86		0.1		7.92		0.86		3.62		791
WASP-010		12.39		68		0.1		3.09		3.14		4.32		1150
TRAPPIST-1h		18.80		1169		0.1		18.77		0.00		0.48		202
TRAPPIST-1g		18.80		735		0.1		12.36		0.00		1.48		232
TRAPPIST-1f		18.80		1006		0.1		9.21		0.00		1.17		256
TRAPPIST-1e		18.80		1041		0.1		6.10		0.00		1.14		293
TRAPPIST-1d		18.80		610		0.1		4.05		0.00		1.66		336
TRAPPIST-1b		18.80		991		0.1		1.51		0.00		1.86		467
Qatar-5		12.82		34		0.1		2.88		4.32		4.52		1683
Qatar-4		13.60		41		0.1		1.80		6.10		4.81		1647
OGLE-TR-L9		14.50		81		0.1		2.49		4.40		3.76		2420
OGLE-TR-211		15.00		168		0.1		3.68		0.75		2.50		2005
OGLE-TR-182		16.84		180		0.1		3.98		1.06		2.54		1842
OGLE-TR-132		16.00		160		0.1		1.69		1.17		3.00		2368
OGLE-TR-113		15.00		218		0.1		1.43		1.23		3.29		1598
OGLE-TR-111		16.00		258		0.1		4.01		0.55		2.64		1213
OGLE-TR-056		16.60		276		0.1		1.21		1.41		2.50		2953
LHS_1140		14.15		58		0.1		24.74		0.02		3.50		262
Kepler-428		15.47		150		0.1		3.53		1.27		3.34		1270
Kepler-117b		14.48		137		0.1		18.80		0.09		1.55		1176
Kepler-101b		13.99		49		0.1		3.49		0.16		2.76		1865
Kepler-089e		12.33		47		0.1		54.32		0.11		2.12		792
Kepler-089c		12.33		52		0.1		10.42		0.05		2.15		1373
Kepler-087c		14.78		99		0.1		191.23		0.02		0.55		527
Kepler-080c		15.18		86		0.1		9.52		0.02		2.22		762
Kepler-080b		15.18		86		0.1		7.05		0.02		2.30		842
Kepler-074		14.56		111		0.1		7.34		0.63		2.88		1303
Kepler-044		14.89		99		0.1		3.25		1.00		3.08		1830
Kepler-036c		12.22		50		0.1		16.24		0.02		1.78		1207
Kepler-021		8.25		9		0.1		2.79		0.02		2.97		2409
Kepler-020c		12.65		41		0.1		10.85		0.04		2.64		1005
Kepler-017		14.30		154		0.1		1.49		2.34		3.57		2037
Kepler-016		12.23		57		0.1		221.78		0.33		2.72		245
Kepler-010c		11.10		18		0.1		45.29		0.02		2.62		688
Kepler-010b		11.10		33		0.1		0.84		0.01		2.87		2603
Kepler-005		13.54		56		0.1		3.55		2.03		3.59		2014
Kepler-004		12.09		44		0.1		3.21		0.07		2.66		1929
K2-113		13.68		59		0.1		5.82		1.29		3.66		1377
K2-111		11.14		13		0.1		5.35		0.03		3.19		1463
K2-110		11.91		26		0.1		13.86		0.05		3.24		759
K2-108		12.47		24		0.1		4.73		0.19		3.08		1735
K2-106c		12.10		45		0.1		13.34		0.02		2.34		939
K2-106b		12.10		23		0.1		0.57		0.02		3.52		2652
K2-098		12.17		31		0.1		10.14		0.10		2.90		1309
K2-060		12.79		71		0.1		3.00		0.43		3.16		1574
K2-039		10.83		18		0.1		4.61		0.12		2.53		2013
K2-038c		11.39		22		0.1		10.56		0.03		2.85		1115
K2-032d		12.31		61		0.1		31.72		0.03		2.18		645
K2-027b		12.64		70		0.1		6.77		0.10		2.76		1094
K2-018b		13.50		51		0.1		32.94		0.03		2.75		336
HD_080606		9.06		8		0.1		111.44		4.11		4.66		482
HATS-36		14.39		63		0.1		4.17		2.79		3.81		1621
HATS-22		13.46		51		0.1		4.72		2.74		4.36		1020
HATS-16		13.83		63		0.1		2.69		3.27		3.92		1892
HATS-15		14.77		99		0.1		1.75		2.17		3.83		1776
HATS-12		12.76		43		0.1		3.14		2.39		3.48		2495
HATS-04		13.46		112		0.1		2.52		1.32		3.50		1567
HAT-P-31		11.66		40		0.1		5.00		2.17		3.90		1730
HAT-P-21		11.69		25		0.1		4.12		4.06		4.61		1516
HAT-P-20		11.34		28		0.1		2.88		7.22		5.18		1147
HAT-P-15		12.16		44		0.1		10.86		1.95		3.78		1069
HAT-P-02		8.71		9		0.1		5.63		8.74		5.08		1801
CoRoT-32		14.47		172		0.1		6.72		0.15		2.48		1142
CoRoT-26		15.76		171		0.1		4.21		0.52		2.14		1870
CoRoT-24c		13.20		84		0.1		11.76		0.09		2.47		841
CoRoT-19		14.01		92		0.1		3.90		1.09		2.99		1938
CoRoT-18		15.00		95		0.1		1.90		3.27		3.99		1774
CoRoT-13		15.04		120		0.1		4.04		1.31		3.08		1704
CoRoT-09		13.69		59		0.1		95.27		0.84		2.95		497
CoRoT-08		14.76		174		0.1		6.21		0.22		2.40		1097
CoRoT-07		11.72		37		0.1		0.85		0.02		3.16		2094
CoRoT-06		13.91		48		0.1		8.89		2.96		4.00		1220
WTS-1		16.13		84		0.0		3.35		4.01		3.85		1773
WASP-089		13.09		24		0.0		3.36		5.90		4.95		1290
WASP-030		11.46		0		0.0		4.16		62.50		7.49		1779
TRAPPIST-1c		18.80		386		0.0		2.42		0.01		2.62		399
Qatar-3		12.88		28		0.0		2.51		4.31		4.53		1999
LHS_6343		13.44		1		0.0		12.71		62.10		7.87		426
KOI-205		14.76		1		0.0		11.72		40.80		7.36		909
Kepler-539		12.53		16		0.0		125.63		0.97		3.81		461
Kepler-434		14.65		24		0.0		12.88		2.86		4.06		1190
Kepler-433		14.62		33		0.0		5.33		2.82		3.55		2098
Kepler-432		12.44		1		0.0		50.50		5.41		4.67		1057
Kepler-420		14.88		18		0.0		86.65		1.45		3.75		545
Kepler-117c		14.48		18		0.0		50.79		1.84		3.67		844
Kepler-089b		12.33		6		0.0		3.74		0.03		3.60		1932
Kepler-087b		14.78		24		0.0		114.74		1.02		2.91		625
Kepler-075		15.52		10		0.0		8.88		10.10		5.47		984
Kepler-046b		15.49		33		0.0		33.60		0.89		3.55		645
Kepler-043		14.07		36		0.0		3.02		3.09		4.17		1906
Kepler-040		14.59		35		0.0		6.87		2.16		3.30		2076
Kepler-039		14.33		3		0.0		21.09		19.10		6.00		1012
Kepler-036b		12.22		6		0.0		13.84		0.01		2.99		1273
Kepler-022		11.81		12		0.0		289.86		0.02		2.52		340
Kepler-020d		12.65		19		0.0		77.61		0.03		2.63		523
Kepler-020b		12.65		17		0.0		3.70		0.03		3.35		1438
Kepler-014		12.18		6		0.0		6.79		7.68		5.06		1910
KELT-01		10.70		5		0.0		1.22		27.38		6.35		2883
K2-066		11.71		7		0.0		5.07		0.07		3.56		1784
K2-056		11.04		8		0.0		41.69		0.05		3.51		649
K2-038b		11.39		6		0.0		4.02		0.04		3.95		1540
HATS-17		12.39		21		0.0		16.25		1.34		4.05		968
EPIC_219388192		12.54		2		0.0		5.29		36.84		6.99		1385
EPIC_211418729		14.57		43		0.0		11.39		1.85		3.99		858
CoRoT-27		15.54		10		0.0		3.58		10.39		5.58		1612
CoRoT-23		15.63		27		0.0		3.63		3.06		4.04		2036
CoRoT-20		14.66		17		0.0		9.24		5.06		4.58		1307
CoRoT-17		15.46		23		0.0		3.77		2.46		4.14		1911
CoRoT-15		15.50		1		0.0		3.06		64.90		7.34		1985
CoRoT-14		16.03		17		0.0		1.51		7.67		5.26		2304
CoRoT-10		15.22		32		0.0		13.24		2.78		4.40		771
CoRoT-03		13.29		3		0.0		4.26		21.96		6.27		1963
