Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
HAT-P-16 b		9.62		49		0.6		2.78		4.20		4.18		1932
Kepler-489 b		12.06		165		0.6		17.28		0.19		2.33		717
WASP-37 b		11.18		104		0.6		3.58		1.79		3.54		1577
Kepler-89 c		10.96		93		0.6		10.42		0.03		1.60		1373
Kepler-423 b		12.85		226		0.6		2.68		1.00		2.89		1680
Kepler-785 b		13.55		324		0.6		1.97		1.00		2.96		1363
WASP-10 b		10.12		70		0.6		3.09		3.19		4.26		1142
WASP-18 b		8.23		29		0.6		0.94		10.20		5.10		2852
WASP-73 b		9.07		31		0.5		4.09		1.88		3.59		2118
WASP-47 d		10.31		56		0.5		9.03		0.04		2.31		1173
WASP-72 b		9.72		46		0.5		2.22		1.41		3.58		2451
HD 17156 b		6.86		11		0.5		21.22		3.30		4.41		1060
CoRoT-8 b		11.64		112		0.5		6.21		0.22		2.85		1016
Kepler-446 b		13.07		221		0.5		1.57		0.01		2.77		748
CoRoT-16 b		12.98		228		0.5		5.35		0.54		2.32		1422
Kepler-15 b		12.28		136		0.5		4.94		0.66		2.93		1318
HATS-14 b		12.05		139		0.5		2.77		1.07		3.25		1516
Kepler-536 b		11.99		126		0.5		1.83		0.03		2.27		1772
HATS-9 b		11.56		105		0.5		1.92		0.84		2.95		2161
K2-21 c		9.63		41		0.5		15.50		0.01		2.53		555
HAT-P-15 b		9.75		44		0.5		10.86		1.95		3.79		1069
Kepler-41 b		12.94		185		0.5		1.86		0.49		2.90		1875
Kepler-506 b		9.66		49		0.5		6.88		0.02		2.29		1424
HAT-P-34 b		9.32		42		0.5		5.45		3.33		4.10		1553
Kepler-21 b		7.03		13		0.5		2.79		0.01		2.69		2320
HATS-4 b		11.69		118		0.5		2.16		1.32		3.50		1648
Kepler-96 b		8.93		35		0.5		16.24		0.03		2.48		930
CoRoT-4 b		12.36		167		0.5		9.20		0.72		2.58		1278
Kepler-25 b		9.53		43		0.5		6.24		0.02		2.29		1553
WASP-99 b		8.13		20		0.5		5.75		2.78		4.09		1748
CoRoT-11 b		11.42		104		0.5		2.99		2.35		3.39		2060
K2-3 c		8.80		32		0.5		24.65		0.01		2.61		448
CoRoT-7 b		9.88		46		0.5		0.85		0.01		2.86		2152
Kepler-1627 b		11.30		99		0.5		7.20		0.04		2.31		1084
Kepler-435 b		12.34		141		0.5		8.60		0.84		1.71		2032
Kepler-472 b		11.56		110		0.5		4.18		0.03		2.28		1154
WASP-14 b		8.65		27		0.5		2.24		7.69		4.80		2217
Kepler-994 b		11.61		80		0.4		1.15		0.01		2.72		1246
CoRoT-26 b		13.36		186		0.4		4.20		0.48		2.06		1873
Kepler-49 b		12.49		117		0.4		7.20		0.02		2.29		679
Kepler-446 c		13.07		181		0.4		3.04		0.00		2.44		600
OGLE-TR-211 b		13.42		193		0.4		3.68		0.76		2.36		2052
WASP-32 b		10.25		46		0.4		2.72		3.45		4.30		1861
Kepler-554 b		12.65		146		0.4		1.90		0.06		2.37		1750
Kepler-504 b		11.37		79		0.4		9.55		0.01		2.73		470
Kepler-314 c		10.85		69		0.4		5.96		0.03		2.28		1185
Kepler-636 b		11.69		89		0.4		16.08		0.07		2.37		777
Kepler-445 d		12.93		146		0.4		8.15		0.01		2.62		392
Kepler-119 b		12.64		141		0.4		2.42		0.04		2.30		1565
OGLE-TR-111 b		14.22		284		0.4		4.01		0.55		2.56		1217
Kepler-547 b		12.11		122		0.4		6.01		0.05		2.36		970
Kepler-74 b		13.01		171		0.4		7.34		0.67		2.30		1483
Kepler-1339 b		10.70		52		0.4		1.34		0.00		1.72		2023
Kepler-568 b		11.16		73		0.4		11.02		0.02		2.39		558
WASP-61 b		11.03		70		0.4		3.86		2.05		3.55		1843
Kepler-539 b		10.96		67		0.4		125.63		0.24		2.42		461
Kepler-19 b		10.38		49		0.4		9.29		0.02		2.41		1007
KOI-13 b		9.46		34		0.4		1.76		6.51		4.45		3101
Kepler-543 b		11.21		66		0.4		13.90		0.02		2.33		692
Kepler-1087 b		11.31		69		0.4		0.69		0.00		1.49		2527
CoRoT-28 b		11.14		70		0.4		5.21		0.48		2.62		1622
Kepler-1314 b		13.51		196		0.4		5.42		0.09		2.38		817
Kepler-960 b		11.73		85		0.4		3.13		0.02		2.38		1182
Kepler-426 b		13.23		181		0.4		3.22		1.00		3.08		1549
Kepler-1351 b		11.57		84		0.4		0.92		0.00		1.60		1628
Kepler-463 b		11.23		74		0.4		8.98		0.03		2.27		1084
Kepler-670 b		13.39		209		0.4		2.82		1.00		2.93		1652
Kepler-125 b		11.87		105		0.4		4.16		0.02		2.36		695
Kepler-1313 b		10.13		42		0.4		3.83		0.01		2.61		1335
Kepler-1066 b		11.40		77		0.4		1.93		0.02		2.36		1884
Kepler-695 b		13.02		165		0.4		3.04		0.54		3.04		1350
Kepler-68 b		8.70		24		0.4		5.40		0.03		2.77		1490
Kepler-468 b		12.12		106		0.4		38.48		1.00		2.91		627
Kepler-475 b		11.33		88		0.4		3.11		0.02		2.33		1283
Kepler-17 b		12.67		136		0.4		1.49		2.48		3.59		2076
Kepler-495 b		12.86		168		0.4		3.41		0.09		2.38		1360
Kepler-485 b		13.48		233		0.4		3.24		1.00		2.75		1704
CoRoT-19 b		11.96		107		0.4		3.90		1.11		2.85		1974
Kepler-30 d		13.62		236		0.4		143.34		0.07		1.12		421
K2-21 b		9.63		33		0.4		9.32		0.01		2.73		657
Kepler-732 c		11.95		92		0.4		0.89		0.01		2.61		1181
Kepler-1646 b		12.30		131		0.4		4.49		0.01		2.57		530
Kepler-628 b		11.66		85		0.4		15.46		0.24		2.42		1065
Kepler-11 c		12.24		126		0.4		13.02		0.01		1.29		1025
Kepler-220 b		10.67		45		0.3		4.16		0.00		1.92		964
Kepler-531 b		11.24		51		0.3		29.88		0.02		2.29		584
Kepler-303 b		11.76		76		0.3		1.94		0.00		2.07		903
Kepler-304 b		12.75		118		0.3		3.30		0.02		2.28		1080
Kepler-954 b		10.95		47		0.3		16.78		0.02		2.37		720
Kepler-699 b		13.74		165		0.3		27.81		1.00		2.80		660
Kepler-81 b		12.58		99		0.3		5.96		0.02		2.34		842
Kepler-723 b		13.59		169		0.3		4.08		1.00		3.09		1359
Kepler-617 b		11.80		69		0.3		1.68		0.01		2.67		992
Kepler-425 b		12.93		123		0.3		3.80		1.00		3.30		1275
Kepler-98 b		11.32		64		0.3		1.54		0.01		2.22		2075
Kepler-79 c		12.65		115		0.3		27.40		0.02		1.43		869
Kepler-652 b		11.85		72		0.3		4.18		0.02		2.33		1317
Kepler-676 b		12.81		120		0.3		11.60		0.03		2.27		525
Kepler-621 b		12.53		95		0.3		2.63		0.02		2.38		1170
Kepler-28 c		12.77		99		0.3		8.99		0.03		2.29		795
Kepler-5 b		11.86		70		0.3		3.55		2.12		3.29		2149
HAT-P-20 b		8.74		16		0.3		2.88		7.29		5.53		1155
Kepler-953 b		10.39		35		0.3		88.41		0.06		2.37		500
Kepler-102 e		9.45		27		0.3		16.15		0.03		2.92		710
Kepler-26 c		12.75		94		0.3		17.25		0.04		2.30		515
Kepler-1312 b		10.95		48		0.3		5.45		0.02		2.45		1280
Kepler-102 f		9.45		20		0.3		27.45		0.00		2.11		595
Kepler-491 b		12.43		108		0.3		4.23		0.48		2.97		1427
Kepler-1152 b		11.82		79		0.3		1.65		0.00		2.04		1107
Kepler-551 b		12.37		79		0.3		12.38		0.02		2.29		648
