Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
HATS-17		10.70		21		0.1		16.25		1.34		4.05		968
EPIC_211418729		12.30		43		0.1		11.39		1.85		3.99		858
CoRoT-23		12.36		27		0.1		3.63		3.06		4.04		2036
CoRoT-17		12.47		23		0.1		3.77		2.46		4.14		1911
CoRoT-10		11.78		32		0.1		13.24		2.78		4.40		771
CoRoT-06		12.12		48		0.1		8.89		2.96		4.00		1220
WASP-030		10.20		0		0.0		4.16		62.50		7.49		1779
LHS_6343		8.70		1		0.0		12.71		62.10		7.87		426
KOI-205		12.66		1		0.0		11.72		40.80		7.36		909
Kepler-434		13.04		24		0.0		12.88		2.86		4.06		1190
Kepler-432		10.12		1		0.0		50.50		5.41		4.67		1057
Kepler-420		12.73		18		0.0		86.65		1.45		3.75		545
Kepler-117c		13.01		18		0.0		50.79		1.84		3.67		844
Kepler-089b		10.93		6		0.0		3.74		0.03		3.60		1932
Kepler-075		13.12		10		0.0		8.88		10.10		5.47		984
Kepler-039		12.92		3		0.0		21.09		19.10		6.00		1012
Kepler-036b		10.79		6		0.0		13.84		0.01		2.99		1273
Kepler-014		10.99		6		0.0		6.79		7.68		5.06		1910
K2-066		10.60		7		0.0		5.07		0.07		3.56		1784
EPIC_219388192		10.73		2		0.0		5.29		36.84		6.99		1385
CoRoT-27		12.98		10		0.0		3.58		10.39		5.58		1612
CoRoT-20		12.51		17		0.0		9.24		5.06		4.58		1307
CoRoT-15		13.39		1		0.0		3.06		64.90		7.34		1985
CoRoT-14		13.81		17		0.0		1.51		7.67		5.26		2304
CoRoT-03		11.62		3		0.0		4.26		21.96		6.27		1963
