Name,Kmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
WASP-056,10.53,234.6,0.0,156.7,0.00,1449,0.57
Kepler-447,10.81,266.2,0.0,178.3,0.00,1247,1.37
WASP-151,11.19,315.6,0.0,212.4,0.00,1560,0.36
HATS-28,12.09,477.1,0.0,321.4,0.00,1489,0.67
HATS-32,12.70,618.8,0.0,425.7,0.00,1707,0.92
WASP-147,10.86,264.0,0.0,182.4,0.00,1633,0.28
HATS-54,12.17,473.7,0.0,333.5,0.00,1875,0.76
HATS-45,12.14,464.6,0.0,328.9,0.00,1807,0.70
WASP-029,8.78,97.8,0.0,70.0,0.00,1176,0.24
WASP-166,8.03,69.1,0.0,49.6,0.00,1512,0.10
WASP-160,11.06,277.7,0.0,200.0,0.00,1331,0.28
WASP-042,10.03,172.6,0.0,124.5,0.00,1215,0.53
HAT-P-52,11.62,358.7,0.0,258.9,0.00,1447,0.82
HAT-P-19,10.55,217.2,0.0,158.2,0.00,1200,0.29
CoRoT-19,11.84,393.3,0.0,286.5,0.00,1938,1.09
HAT-P-51,11.61,352.5,0.0,257.7,0.00,1416,0.31
WASP-008,8.09,68.6,0.0,50.9,0.00,1103,2.25
HAT-P-29,10.30,188.4,0.0,141.0,0.00,1512,0.77
HAT-P-12,10.11,172.3,0.0,129.2,0.00,1136,0.20
HATS-10,11.51,321.1,0.0,246.1,0.00,1673,0.53
HAT-P-44,11.28,284.2,0.0,221.4,0.00,1314,0.35
EPIC_246851721,9.89,149.6,0.0,116.7,0.00,1681,0.00
CoRoT-14,13.81,907.8,0.0,709.7,0.00,2303,7.67
HATS-55,12.02,397.8,0.0,311.2,0.00,1594,0.92
HATS-14,12.04,401.2,0.0,314.1,0.00,1516,1.07
WASP-089,11.00,237.6,0.0,194.6,0.00,1290,5.90
CoRoT-05,12.55,483.6,0.0,397.3,0.00,1660,0.46
CoRoT-12,13.56,747.3,0.0,632.6,0.00,1683,0.87
HATS-44,12.17,393.4,0.0,333.5,0.00,1403,0.56
Kepler-043,12.55,461.8,0.0,397.3,0.00,1906,3.09
K2-096b,7.07,35.2,0.0,31.8,0.00,2077,0.02
HD_221416,6.04,21.7,0.0,19.8,0.00,1429,0.20
WASP-083,10.39,160.6,0.0,146.9,0.00,1326,0.30
CoRoT-23,12.36,396.9,0.0,364.0,0.00,2035,3.06
HATS-62,12.11,352.8,0.0,324.4,0.00,1491,0.00
CoRoT-03,11.62,277.5,0.0,258.9,0.00,1963,21.96
K2-232,8.43,60.9,0.0,59.6,0.00,1189,0.41
HATS-50,12.29,359.5,0.0,352.5,0.00,1616,0.39
K2-140,11.00,190.4,0.0,194.6,0.00,1325,1.02
WASP-117,8.78,67.6,0.0,70.0,0.00,1218,0.28
WASP-086,9.36,83.2,0.0,91.4,0.00,1647,0.82
EPIC_219388192,10.73,156.3,0.0,171.8,0.00,1384,36.84
Kepler-014,10.99,175.4,0.0,193.7,0.00,1909,7.68
Kepler-091,10.14,117.2,0.0,130.9,0.00,2411,0.73
Kepler-435,12.29,313.1,0.0,352.5,0.00,2032,0.84
HATS-36,12.81,395.6,0.0,447.8,0.00,1627,3.22
WASP-129,10.41,129.1,0.0,148.3,0.00,1281,1.00
Kepler-044,12.88,395.8,0.0,462.5,0.00,1830,1.00
HATS-43,11.56,215.4,0.0,251.8,0.00,1185,0.26
Kepler-015,12.22,290.3,0.0,341.3,0.00,1487,0.70
