Name,Kmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
-,-,ppm,-,days,M_jup,-,K
CoRoT-03,11.62,3.3,0.013,4.26,21.96,506.16,1963
Kepler-432,10.12,1.5,0.011,50.50,5.41,102.28,1057
Kepler-039,12.92,3.8,0.008,21.09,19.10,384.24,1011
WASP-030,10.20,1.0,0.008,4.16,62.50,1712.91,1778
CoRoT-33,12.71,2.5,0.006,5.82,59.00,1208.60,1207
KOI-205,12.66,1.3,0.003,11.72,40.80,1504.00,909
CoRoT-15,13.39,1.5,0.003,3.06,64.90,1473.08,1984
Kepler-503,13.04,0.5,0.001,7.26,78.60,2113.95,1540
EPIC_201702477,12.77,0.2,0.001,40.74,66.90,2893.68,344
KOI-415,12.66,0.2,0.000,166.79,62.14,2467.93,484
Kepler-431c,10.65,-0.0,-0.000,8.70,-1.00,-6885.14,1217
Kepler-431b,10.65,-0.0,-0.000,6.80,-1.00,-5360.41,1329
Kepler-430c,12.39,-0.1,-0.000,110.98,-1.00,-1018.51,596
Kepler-730c,14.10,-0.2,-0.000,2.85,-1.00,-1264.62,1906
Kepler-442b,12.49,-0.1,-0.000,112.31,-1.00,-1721.29,305
Kepler-444b,6.70,-0.0,-0.000,3.60,-1.00,-19125.40,1258
Kepler-032f,12.75,-0.2,-0.000,0.74,-1.00,-4916.98,1575
EPIC_248435473c,8.90,-0.0,-0.000,7.81,-1.00,-7628.97,760
Kepler-069c,12.23,-0.1,-0.000,242.46,-1.00,-1058.85,390
Kepler-186f,11.61,-0.1,-0.000,129.95,-1.00,-2291.65,254
Kepler-431d,10.65,-0.1,-0.000,11.92,-1.00,-2528.98,1102
Kepler-438b,11.20,-0.1,-0.001,35.23,-1.00,-2478.65,380
Kepler-444c,6.70,-0.0,-0.001,4.55,-1.00,-12630.14,1164
Kepler-441b,12.29,-0.2,-0.001,207.25,-1.00,-1162.81,231
Kepler-032e,12.75,-0.3,-0.001,2.90,-1.00,-2580.85,999
Kepler-444d,6.70,-0.0,-0.001,6.19,-1.00,-11078.81,1050
Kepler-444e,6.70,-0.0,-0.001,7.74,-1.00,-10450.99,975
Kepler-443b,13.81,-0.5,-0.001,177.67,-1.00,-572.91,323
Kepler-439b,12.92,-0.3,-0.001,178.14,-1.00,-619.66,386
Kepler-296e,12.60,-0.3,-0.001,34.14,-1.00,-1340.10,361
Kepler-186e,11.61,-0.2,-0.001,22.41,-1.00,-1941.15,458
Kepler-186b,11.61,-0.3,-0.001,3.89,-1.00,-2746.43,819
Kepler-080f,12.25,-0.4,-0.001,0.99,-1.00,-2125.04,1620
Kepler-296f,12.60,-0.4,-0.001,63.34,-1.00,-956.23,294
Kepler-1649,12.59,-0.5,-0.001,8.69,-1.00,-2689.51,411
Kepler-440b,12.12,-0.4,-0.001,101.11,-1.00,-899.50,360
Kepler-186c,11.61,-0.3,-0.001,7.27,-1.00,-1975.97,665
Kepler-444f,6.70,-0.0,-0.001,9.74,-1.00,-5673.00,881
Kepler-296b,12.60,-0.6,-0.001,10.86,-1.00,-1195.34,529
Kepler-186d,11.61,-0.4,-0.002,13.34,-1.00,-1586.34,543
Kepler-009d,12.34,-0.5,-0.002,1.59,-1.00,-1162.81,1969
Kepler-150f,13.36,-0.9,-0.002,637.21,-1.00,-234.67,277
Kepler-436b,13.33,-0.9,-0.002,64.00,-1.00,-416.33,382
Kepler-065b,9.81,-0.2,-0.002,2.15,-1.00,-1536.77,2261
Kepler-437b,11.85,-0.5,-0.002,66.65,-1.00,-679.44,401
Kepler-066,13.62,-1.3,-0.002,17.82,-1.00,-396.58,914
Kepler-430b,12.39,-0.8,-0.002,35.97,-1.00,-294.73,868
Kepler-069b,12.23,-0.8,-0.002,13.72,-1.00,-619.66,1017
Kepler-067,14.15,-1.9,-0.002,15.73,-1.00,-361.09,788
Kepler-296d,12.60,-1.0,-0.002,19.85,-1.00,-716.46,433
Kepler-032d,12.75,-1.3,-0.003,22.78,-1.00,-546.33,502
Kepler-296c,12.60,-1.3,-0.003,5.84,-1.00,-782.30,651
K2-138b,10.31,-0.5,-0.003,2.35,-1.00,-1264.62,1556
K2-133b,10.28,-0.5,-0.003,3.07,-1.00,-1810.69,791
K2-155d,9.50,-0.3,-0.004,40.63,-1.00,-1162.81,375
