# TIC     |   RA      |   Dec     | EclipticLong | EclipticLat | Sector | Camera | Ccd | ColPix | RowPix
000000678 | 185.324667 | -51.159167 | 210.182524 | -43.745630 | 11 | 2 | 1 |  180.501 | 1602.361
000000682 | 357.845375 | -69.847167 | 311.775909 | -58.886789 |  1 | 3 | 2 |  345.265 |  884.975
000000685 | 313.783125 | -33.864472 | 306.665413 | -15.828841 |  1 | 1 | 4 | 1493.477 | 1760.606
000000686 | 337.457208 | -47.996944 | 319.329112 | -35.431417 |  1 | 2 | 3 | 1663.619 |  990.301
000000687 |   1.046417 | -46.639389 | 337.970017 | -42.224122 |  2 | 2 | 1 | 1468.949 | 2033.873
000000688 |  24.604333 | -54.227917 | 349.396608 | -57.267809 |  2 | 3 | 1 | 1585.642 |  616.041
000000688 |  24.604333 | -54.227917 | 349.396608 | -57.267809 |  3 | 3 | 2 | 2002.341 |  897.182
000000689 |  58.428750 | -33.671750 |  44.616049 | -52.254630 |  4 | 2 | 2 |  643.267 |  292.919
000000690 |  39.897667 | -49.992000 |   8.487142 | -60.086689 |  3 | 3 | 2 |  196.783 | 1086.515
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 |  1 | 4 | 1 |  930.796 | 1099.465
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 |  2 | 4 | 1 | 1528.941 |  647.639
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 |  3 | 4 | 2 |  104.509 |  525.686
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 |  4 | 4 | 2 |  816.907 |  757.356
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 |  5 | 4 | 2 | 1339.202 | 1288.238
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 |  6 | 4 | 2 | 1558.455 | 1992.299
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 |  7 | 4 | 3 |  701.443 | 1495.265
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 |  8 | 4 | 3 | 1126.859 |  915.495
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 |  9 | 4 | 3 | 1758.296 |  587.401
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 | 10 | 4 | 4 |  314.577 |  572.642
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 | 11 | 4 | 4 |  981.905 |  893.262
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 | 12 | 4 | 4 | 1433.497 | 1494.201
000000691 |  68.959667 | -63.972972 |   6.615020 | -80.874623 | 13 | 4 | 1 |  582.072 | 1970.667
000000692 |  98.351083 | -22.513833 | 101.058702 | -45.634512 |  6 | 2 | 2 |  955.801 | 1430.198
000000696 |  24.167667 | -49.340972 | 354.515535 | -53.331953 |  2 | 2 | 2 | 1161.974 |   25.484
000000696 |  24.167667 | -49.340972 | 354.515535 | -53.331953 |  3 | 3 | 2 | 1719.905 |   63.464
000000697 | 166.429708 |  -4.920583 | 169.447072 |  -9.886182 |  9 | 1 | 4 |  456.563 |  707.633
000000699 | 195.828042 | -48.360333 | 215.944546 | -37.847958 | 11 | 2 | 4 | 1345.670 | 1473.305
000000702 | 328.767625 | -21.387444 | 323.548335 |  -8.193478 |  1 | 1 | 3 |  796.557 |  414.265
000000703 | 339.489292 | -34.846139 | 327.420618 | -24.194127 |  1 | 1 | 2 | 1844.973 |  947.177
000000706 |  36.775375 | -49.715472 |   5.695567 | -58.635597 |  2 | 3 | 1 |  153.152 | 1164.782
000000706 |  36.775375 | -49.715472 |   5.695567 | -58.635597 |  3 | 3 | 2 |  456.067 |  847.477
000000708 |  55.933167 | -64.806167 | 351.308673 | -76.041609 |  1 | 4 | 1 |  722.155 |   91.981
000000708 |  55.933167 | -64.806167 | 351.308673 | -76.041609 |  2 | 3 | 4 |  310.385 |  344.789
000000708 |  55.933167 | -64.806167 | 351.308673 | -76.041609 |  3 | 3 | 3 | 1325.986 |  230.149
000000708 |  55.933167 | -64.806167 | 351.308673 | -76.041609 |  4 | 4 | 2 | 1789.629 |  421.055
000000708 |  55.933167 | -64.806167 | 351.308673 | -76.041609 |  7 | 4 | 3 |  221.374 |  584.501
000000708 |  55.933167 | -64.806167 | 351.308673 | -76.041609 | 11 | 4 | 4 | 1990.012 |  686.281
000000709 |  62.616042 | -44.101778 |  43.011467 | -63.145171 |  4 | 3 | 1 | 1803.534 | 1620.706
000000709 |  62.616042 | -44.101778 |  43.011467 | -63.145171 |  5 | 3 | 2 | 1737.693 | 1914.253
