Name		Vmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
HD_106315b		8.95		1		0.0		9.55		0.04		3.08		1352
HD_097658		7.71		1		0.0		9.49		0.02		2.73		902
HD_080606		9.06		1		0.0		111.44		4.11		4.66		482
HATS-17		12.39		7		0.0		16.25		1.34		4.05		968
GJ_9827d		10.51		2		0.0		6.20		0.01		2.18		798
GJ_9827c		10.51		1		0.0		3.65		0.01		2.64		954
GJ_3470		12.27		20		0.0		3.34		0.04		2.24		769
GJ_1132		13.49		29		0.0		1.63		0.01		1.43		765
EPIC_218916923		11.65		4		0.0		28.38		0.38		2.71		661
EPIC_211442297		13.34		14		0.0		20.27		0.84		2.87		807
EPIC_211418729		14.57		22		0.0		11.39		1.85		3.99		858
CoRoT-32		14.47		14		0.0		6.72		0.15		2.48		1142
CoRoT-27		15.54		97		0.0		3.58		10.39		5.58		1612
CoRoT-24c		13.20		4		0.0		11.76		0.09		2.47		841
CoRoT-20		14.66		36		0.0		9.24		5.06		4.58		1307
CoRoT-10		15.22		17		0.0		13.24		2.78		4.40		771
CoRoT-09		13.69		1		0.0		95.27		0.84		2.95		497
CoRoT-08		14.76		27		0.0		6.21		0.22		2.40		1097
CoRoT-07		11.72		15		0.0		0.85		0.02		3.16		2094
CoRoT-06		13.91		41		0.0		8.89		2.96		4.00		1220
CoRoT-04		14.00		35		0.0		9.20		0.73		2.65		1260
